Symbol, dividendYield
AMG, 0.0002
CAF, 0.0002
COO, 0.0002
NVDA, 0.00029999999
NBN, 0.0005
WTM, 0.00059999997
IR, 0.0008
EPAC, 0.00090000004
HEI, 0.00090000004
VRT, 0.00090000004
TXT, 0.001
PWR, 0.0011
GEHC, 0.0014
GFL, 0.0014
KNSL, 0.0014
BSIG, 0.0015
HBM, 0.0015
PEGA, 0.0015
CCJ, 0.0016
ENSG, 0.0016
PGR, 0.0016
PVH, 0.0016
BDC, 0.0017
ASA, 0.0018000001
CHN, 0.0018000001
WIT, 0.0018000001
USLM, 0.0019
AYI, 0.002
CIGI, 0.002
PCG, 0.002
ACA, 0.0021
CLB, 0.0021
TILE, 0.0022
BELFA, 0.0023
EME, 0.0023
AG, 0.0023999999
CW, 0.0023999999
DBRG, 0.0023999999
RVTY, 0.0023999999
ESE, 0.0025
HLT, 0.0025
AAON, 0.0026
CSWI, 0.0026
DDS, 0.0026
JBL, 0.0026
WST, 0.0027
ALC, 0.0028
CASH, 0.0028
TMO, 0.0028
CHDN, 0.0029
ESAB, 0.0029
LOB, 0.0029
MRVL, 0.0029
QCRH, 0.0029
VNT, 0.0029
WING, 0.0029
TW, 0.003
HWM, 0.0031
L, 0.0031
SEB, 0.0031
ICFI, 0.0032
IGIC, 0.0032
PEB, 0.0032
STVN, 0.0032
CHE, 0.0033000002
CTS, 0.0033000002
BRKR, 0.0034
JBT, 0.0034
TRAK, 0.0034
EXP, 0.0034999999
META, 0.0034999999
NMM, 0.0034999999
VLTO, 0.0034999999
BELFB, 0.0036000002
FIX, 0.0036000002
AEIS, 0.0037
ENTG, 0.0038
H, 0.0038
NYCB, 0.0038
PRIM, 0.0038
VSEC, 0.0038
HSTM, 0.0039
TBNK, 0.0039
UHS, 0.0039
FCNCA, 0.004
KAI, 0.004
MUSA, 0.004
POWL, 0.0041
TRU, 0.0041
WAB, 0.0042
AAPL, 0.0043
EE, 0.0043
FTV, 0.0043
IDT, 0.0043
IIIN, 0.0043
MU, 0.0043
TER, 0.0043
TPL, 0.0043
WMS, 0.0043
DHR, 0.0044
ARCB, 0.0045
INTR, 0.0045
LPLA, 0.0045
TECH, 0.0045
BCPC, 0.0046
CASY, 0.0046
CRS, 0.0047999998
GOOG, 0.0047999998
GOOGL, 0.0047999998
MORN, 0.0047999998
TTEK, 0.0047999998
AGI, 0.0049
BSY, 0.0049
ATMU, 0.005
KKR, 0.005
MMLP, 0.005
VBNK, 0.005
HCC, 0.0050999997
SVM, 0.0050999997
COST, 0.0052
MA, 0.0052
MTRN, 0.0052
ODFL, 0.0052
X, 0.0052
CEG, 0.0053
DIT, 0.0053
EA, 0.0053
ESOA, 0.0053
FSV, 0.0053
GPI, 0.0053
OEC, 0.0053
RACE, 0.0053
WRB, 0.0053
CR, 0.0054
CRM, 0.0054
AC, 0.0055
BVN, 0.0055
GF, 0.0055
MLM, 0.0055
ROP, 0.0055
TDS, 0.0055
WLFC, 0.0055
BMI, 0.0056
FSS, 0.0056
MCK, 0.0056
MPWR, 0.0056
CNXN, 0.0057
MLAB, 0.0057
MTX, 0.0057
TFX, 0.0057
BRO, 0.0058
EFX, 0.0058
LLY, 0.0058
RNR, 0.0058
TRS, 0.0058
BN, 0.0058999998
BNT, 0.0058999998
ORA, 0.0058999998
VRSK, 0.0058999998
ALG, 0.006
IBP, 0.006
LAKE, 0.006
PGC, 0.006
PHM, 0.006
SSD, 0.006
TPB, 0.006
VIRC, 0.006
BCC, 0.0061000003
EVTC, 0.0061000003
RDY, 0.0061000003
TOL, 0.0061000003
WWD, 0.0061000003
HWKN, 0.0062
LAD, 0.0062
AIT, 0.0063
FFWM, 0.0063
GVA, 0.0063
PLPC, 0.0063
RICK, 0.0063
RYAN, 0.0063
TGLS, 0.0063
GE, 0.0064
CLMB, 0.0064999997
SONY, 0.0064999997
ALNT, 0.0066000004
IBKR, 0.0066000004
AME, 0.0067000003
DHI, 0.0067000003
INBK, 0.0067000003
SHEN, 0.0067000003
INTU, 0.0068
RRBI, 0.0068
RCG, 0.0069
VST, 0.0069
HTLD, 0.0069999998
CP, 0.0070999996
NWS, 0.0070999996
PJT, 0.0070999996
REVG, 0.0070999996
SXI, 0.0070999996
UNF, 0.0070999996
VMC, 0.0070999996
WCN, 0.0070999996
A, 0.0072000003
AON, 0.0073
EHC, 0.0073
LMAT, 0.0073
V, 0.0073
GWW, 0.0074
HCA, 0.0074
LSTR, 0.0074
MCO, 0.0074
RLI, 0.0074
STN, 0.0074
VMI, 0.0074
CTAS, 0.0075
HLIO, 0.0075
LII, 0.0075
NWSA, 0.0075
SPGI, 0.0075
CGNX, 0.0077
FTI, 0.0077
IBN, 0.0077
ALCO, 0.0078
BWXT, 0.0078
ITIC, 0.0078
MSFT, 0.0078
OLED, 0.0078
SLP, 0.0078
TECK, 0.0078
NMRK, 0.007900001
RCL, 0.007900001
SHW, 0.007900001
TSE, 0.007900001
URI, 0.007900001
KOP, 0.008
NPO, 0.008
BKNG, 0.0081
COKE, 0.0081
HL, 0.0081
CHH, 0.0082
EDR, 0.0082
J, 0.0082
MBIN, 0.0082
MGPI, 0.0082
MXC, 0.0082
RRX, 0.0082
ACM, 0.0083
CSPI, 0.0083
AJG, 0.0084
ASO, 0.0084
FTAI, 0.0084
CMCO, 0.0085
CVLG, 0.0085
PNFP, 0.0085
AMAT, 0.0086
BGC, 0.0086
KLAC, 0.0086
MKSI, 0.0086
MSI, 0.0086
RMD, 0.0086
TT, 0.0086
AZZ, 0.0087
BBSI, 0.0087
COR, 0.0087
CRAI, 0.0087
WTS, 0.0087
ESLT, 0.0088
GHC, 0.0088
ITT, 0.0088
VHI, 0.0088
ECL, 0.0089
KBR, 0.0089
AWI, 0.009
ESQ, 0.009
PAYC, 0.009
PIPR, 0.009
SYK, 0.009
SYT, 0.009
WHD, 0.009
CAL, 0.0091
CEIX, 0.0091
FDS, 0.0091
GL, 0.0091
GM, 0.0091
JBSS, 0.0091
OR, 0.0091
BUR, 0.0092
OSW, 0.0092
PARAA, 0.0092
WCC, 0.0092
BCO, 0.0093
GFF, 0.0093
ORCL, 0.0093
PNR, 0.0093
UI, 0.0093
WPM, 0.0093
ZBH, 0.0093
CDRE, 0.0094
DIS, 0.0094
LDOS, 0.0094
NYT, 0.0094
WMPN, 0.0094
ABCB, 0.0095
BYD, 0.0095
CSL, 0.0095
ENS, 0.0095
HXL, 0.0095
LNG, 0.0095
SAND          , 0.0095
ULS, 0.0095
VBFC, 0.0095
WINA, 0.0095
ZTS, 0.0095
AMR, 0.0095999995
APH, 0.0095999995
ASML, 0.0095999995
HIFS, 0.0095999995
JBHT, 0.0095999995
MAR, 0.0095999995
MLI, 0.0095999995
AA, 0.0097
SMBK, 0.0097
FELE, 0.0098
GPN, 0.0098
ARMK, 0.0099
AZPN, 0.0099
NNI, 0.0099
SAP, 0.0099
VSTS, 0.0099
ALSN, 0.01
CARR, 0.01
UFPI, 0.01
WMT, 0.01
ZWS, 0.01
ILPT, 0.0101
WYNN, 0.0101
LPX, 0.010199999
MATX, 0.010199999
MKTX, 0.010199999
NVT, 0.010199999
SAIC, 0.010199999
STE, 0.010199999
AXP, 0.010299999
GAM, 0.010299999
ROST, 0.010299999
RRC, 0.010299999
AER, 0.0104
BBUC, 0.0105
CCK, 0.0105
PH, 0.0105
TPX, 0.0105
ATR, 0.0106
FNV, 0.0106
IHT, 0.0106
JOE, 0.0106
NX, 0.0106
RGLD, 0.0106
ULH, 0.0106
AMKR, 0.0107
DOV, 0.0107
HLNE, 0.0107
IMKTA, 0.0107
DAL, 0.0108
HDB, 0.0108
ICE, 0.0108
MSCI, 0.0108
PRGS, 0.0108
TCBS, 0.0108
UBS, 0.0108
ETN, 0.0109
NIC, 0.0109
BAH, 0.011
CFBK, 0.011
FBIN, 0.011
LFUS, 0.011
XYL, 0.011
CTVA, 0.0111
YOU, 0.0111
CHD, 0.0112
JILL, 0.0112
MLR, 0.0112
PCAR, 0.0112
PRG, 0.0112
SSBK, 0.0112
ERIE, 0.0113
AGCO, 0.0114
AGX, 0.0114
CCS, 0.0114
CDW, 0.0114
FRD, 0.0114
HUBG, 0.0114
LMNR, 0.0114
AMP, 0.0115
CXT, 0.0115
DHC, 0.0115
EFXT, 0.0115
EXPO, 0.0115
IRMD, 0.0115
JMSB, 0.0115
KGC, 0.0115
LEN, 0.0115
WT, 0.0115
BBU, 0.0116
EBR, 0.0116
RSG, 0.0116
TME, 0.0116
FLXS, 0.0117
HPK, 0.0117
HUBB, 0.0117
LIN, 0.0117
PFSI, 0.0117
SVC, 0.0117
CBOE, 0.0117999995
DOOO, 0.0117999995
FUL, 0.0117999995
TR, 0.0117999995
AAME, 0.0119
GSM, 0.0119
KNX, 0.0119
LFVN, 0.0119
LNN, 0.0119
NVEI, 0.0119
BTU, 0.012
DNUT, 0.012
ESI, 0.012
JKHY, 0.012
LYTS, 0.012
WSFS, 0.012
WTW, 0.012
RJF, 0.0121
SEIC, 0.0121
TNET, 0.0121
EVR, 0.012200001
EXPD, 0.012200001
LRCX, 0.012200001
MSA, 0.012200001
MWA, 0.012200001
TIPT, 0.012200001
AVGO, 0.0123000005
POWI, 0.0123000005
TEX, 0.0123000005
BALL, 0.0124
GCBC, 0.0124
HRI, 0.0124
IDCC, 0.0124
TFPM, 0.0124
TNC, 0.0124
CNMD, 0.0125
GGG, 0.0125
KBH, 0.0125
NDSN, 0.0125
NVGS, 0.0125
OPY, 0.0125
PX, 0.0125
SIG, 0.0125
WFRD, 0.0125
CB, 0.0126
KWR, 0.0126
STM, 0.0126
LH, 0.0127
NDAQ, 0.0127
PSMT, 0.0127
TSM, 0.0127
TXRH, 0.0127
APO, 0.0128
BWA, 0.0128
FCX, 0.0128
NSSC, 0.0128
TDF, 0.0128
BY, 0.0128999995
EEX, 0.0128999995
ESRT, 0.0128999995
FOXA, 0.0128999995
NVO, 0.0128999995
APOG, 0.012999999
OC, 0.012999999
POOL, 0.012999999
PRI, 0.012999999
RUSHA, 0.012999999
TRI, 0.012999999
CHX, 0.013099999
MMI, 0.013099999
SNX, 0.013099999
TJX, 0.013099999
BRC, 0.013200001
GPK, 0.013200001
TFII, 0.013200001
UNTY, 0.013200001
WFG, 0.013200001
CMC, 0.013300001
PRMW, 0.013300001
WDFC, 0.013300001
NPK, 0.0134000005
SNDR, 0.0134000005
USCB, 0.0134000005
ALLE, 0.0135
BUD, 0.0135
DRH, 0.0135
FIP, 0.0135
IEX, 0.0135
PWP, 0.0135
RBA, 0.0135
ST, 0.0135
FBK, 0.0136
HLI, 0.0136
HUM, 0.0136
STLD, 0.0136
B, 0.0137
EQBK, 0.0137
HCI, 0.0137
TWIN, 0.0137
CSV, 0.0138
CX, 0.0138
EML, 0.0138
IOSP, 0.0138
MMS, 0.0138
VRE, 0.0138
AMAL, 0.0139
IHG, 0.0139
SCHW, 0.0139
FOX, 0.0139999995
ROL, 0.0139999995
SFBS, 0.0139999995
SFBC, 0.014099999
MAS, 0.014199999
UTZ, 0.014199999
DE, 0.0143
GOLF, 0.0143
MNSO, 0.0143
OSBC, 0.0143
SSNC, 0.0143
YUMC, 0.0143
AIN, 0.014400001
CAT, 0.014400001
CSX, 0.014400001
DCI, 0.014400001
FCFS, 0.014400001
WM, 0.014400001
ATKR, 0.0145000005
COF, 0.0145000005
DPZ, 0.0145000005
HTBI, 0.0145000005
AGO, 0.0146
HAYN, 0.0146
HES, 0.0146
NUE, 0.0146
UMBF, 0.0146
MMC, 0.0147
NGVC, 0.0147
WERN, 0.0147
ACU, 0.0148
AIZ, 0.0148
CPHC, 0.0148
CRH, 0.0148
DELL, 0.0148
RS, 0.0148
LVS, 0.0149
SLGN, 0.0149
UNH, 0.0149
BBD, 0.0150999995
BHE, 0.0150999995
FORTY, 0.0150999995
KELYA, 0.0150999995
SCVL, 0.0150999995
HMY, 0.0152
MCRI, 0.0152
MRTN, 0.0152
AU, 0.0153
GNTX, 0.0153
HBB, 0.0153
HSII, 0.0153
LECO, 0.0153
RUSHB, 0.0153
SMBC, 0.0153
EXPI, 0.0154
FNWD, 0.0154
OTIS, 0.0154
KELYB, 0.0155
SEM, 0.0155
SHYF, 0.0155
SPNS, 0.0155
TMUS, 0.0155
WTFC, 0.0155
CBT, 0.0156
ELV, 0.0156
STEP, 0.0156
VOXR, 0.0156
CBNK, 0.015700001
IFF, 0.015700001
SCI, 0.015700001
WLK, 0.015700001
BERY, 0.015800001
HLN, 0.015800001
RPM, 0.015800001
TKR, 0.015800001
YMM, 0.015800001
ZEUS, 0.015800001
ADEA, 0.0159
BDX, 0.0159
BEKE, 0.0159
COLM, 0.0159
FLS, 0.0159
G, 0.0159
RELX, 0.0159
ADI, 0.016
CTSH, 0.016
FERG, 0.016
SF, 0.016
ANDE, 0.0161
BCML, 0.0161
HTHT, 0.0161
NOC, 0.0161
OBT, 0.0161
WS, 0.0161
MGYR, 0.0162
NXPI, 0.0162
PATK, 0.0162
RNGR, 0.0162
ASTE, 0.0163
MTH, 0.0163
RL, 0.0163
SBAC, 0.0163
TSCO, 0.0163
ACN, 0.0164
AMTB, 0.0164
ATAT, 0.0164
BBDO, 0.0164
BFH, 0.0164
DLB, 0.0164
LEG, 0.0164
PAAS, 0.0164
ZGN, 0.0164
ALB, 0.0165
ATEN, 0.0165
BANF, 0.0165
BR, 0.0165
LOGI, 0.0165
MGRC, 0.0165
SBS, 0.0165
OVLY, 0.0166
SIGI, 0.0166
TRV, 0.0166
FRBA, 0.0167
GATX, 0.0167
MCS, 0.0167
OSK, 0.0167
RGA, 0.0167
WH, 0.0167
ABM, 0.0168
CAMT, 0.0168
EQT, 0.016900001
KNOP, 0.016900001
MRO, 0.016900001
RELL, 0.016900001
ARKO, 0.017
AVY, 0.017
EPC, 0.017
GIL, 0.017
RVSB, 0.017
RYAAY, 0.017
STZ, 0.017
TAC, 0.017
VCIG, 0.017
EBAY, 0.0171
HQI, 0.0171
WOR, 0.0171
LOW, 0.0172
PKOH, 0.0172
TEL, 0.0172
WSM, 0.0172
CBSH, 0.0173
KLIC, 0.0173
KRO, 0.0173
NTAP, 0.0173
WNC, 0.0173
NOA, 0.0174
OXY, 0.0174
SPFI, 0.0174
WAL, 0.0175
FIS, 0.0176
FUSB, 0.0176
MDU, 0.0176
SYF, 0.0176
TTC, 0.0176
AOS, 0.0177
CI, 0.0178
CWCO, 0.0178
HCKT, 0.0178
ASR, 0.018
DRD, 0.018
GRMN, 0.018
ODC, 0.018
DD, 0.018099999
AFL, 0.0182
CAH, 0.0182
LBRT, 0.0182
TRGP, 0.0182
DFS, 0.0183
ESNT, 0.0183
HIG, 0.0183
IROQ, 0.0183
JD, 0.0183
SHOO, 0.0183
AEM, 0.0184
CNO, 0.0184
DNB, 0.0184
NRG, 0.0184
ROK, 0.0184
GEN, 0.0185
LW, 0.0185
MEOH, 0.0185
NMR, 0.0185
RGR, 0.0185
RRR, 0.0185
SYBT, 0.0185
GNE, 0.0186
NEU, 0.0186
SPB, 0.0186
AL, 0.0187
EQIX, 0.0187
GD, 0.0187
LHX, 0.0187
MCY, 0.0187
STEL, 0.0187
UTMD, 0.0187
IRDM, 0.0188
JJSF, 0.0188
NKE, 0.0188
OBK, 0.0188
THO, 0.0188
ASH, 0.0189
ASTL, 0.019
JCI, 0.019
SUPV, 0.019
BOWL, 0.0191
KOF, 0.0191
SM, 0.0191
DGX, 0.019199999
OLN, 0.019199999
PARA, 0.019199999
ABT, 0.019299999
EMR, 0.019299999
FER, 0.019299999
GBX, 0.019299999
KMPR, 0.019299999
ALL, 0.0194
BDL, 0.0194
BFC, 0.0194
HEES, 0.0194
NEN, 0.0194
WTI, 0.0194
AZN, 0.0195
NOV, 0.0195
ADP, 0.0196
DOLE, 0.0196
FFIN, 0.0196
GFI, 0.0196
MGEE, 0.0196
EEA, 0.0197
GRC, 0.0197
MTDR, 0.0197
QCOM, 0.0197
ISTR, 0.0198
KFY, 0.0199
LANC, 0.0199
LINE, 0.0199
YUM, 0.0199
BABA, 0.02
CBRL, 0.02
FDX, 0.02
GOLD, 0.02
MDRR, 0.02
MT, 0.02
BSVN, 0.0201
LZB, 0.0201
RTX, 0.0201
AMRK, 0.0202
CME, 0.0202
FG, 0.0202
MSEX, 0.0202
TNK, 0.0202
BOKF, 0.020299999
BX, 0.020299999
FAST, 0.020299999
MGY, 0.020299999
NHC, 0.020299999
PAHC, 0.020299999
SCL, 0.020299999
HII, 0.020399999
IMMR, 0.020399999
SSBI, 0.020399999
BC, 0.020499999
WELL, 0.020499999
BBW, 0.020599999
FBNC, 0.020599999
AIG, 0.0207
BLK, 0.0207
HTLF, 0.0207
MTG, 0.0207
NEM, 0.0207
SXT, 0.0207
CL, 0.0209
ELTK, 0.0209
EQH, 0.0209
PPG, 0.0209
EFSC, 0.021
EG, 0.021
HOG, 0.021
HY, 0.021
IBOC, 0.021
SLVM, 0.021
BFST, 0.0211
CPK, 0.0211
PSO, 0.0211
VFC, 0.0211
WMK, 0.0211
HNVR, 0.0212
LTM, 0.0212
NSC, 0.021300001
ACT, 0.0214
DKS, 0.0214
MKC, 0.0214
OPI, 0.0214
CE, 0.0215
MMM, 0.0215
USPH, 0.0215
FPI, 0.0216
JEF, 0.0216
CWT, 0.0217
DOX, 0.0217
HTH, 0.0217
NECB, 0.0217
SII, 0.0217
ARES, 0.0218
AXS, 0.0218
CMI, 0.0218
MPC, 0.0218
PHIN, 0.0218
SEE, 0.0218
HBCP, 0.0219
HON, 0.0219
MRX, 0.0219
SSB, 0.0219
TM, 0.0219
AWK, 0.022
CNI, 0.022
PKG, 0.022
ASIX, 0.0221
AVD, 0.0221
AVNT, 0.0221
PBHC, 0.0221
TTEC, 0.0221
APD, 0.0222
FSP, 0.0222
JPM, 0.0222
CVR, 0.0223
EWBC, 0.0223
HD, 0.0223
IRM, 0.0223
VOYA, 0.0223
VSH, 0.0223
AWR, 0.0224
CINF, 0.0224
FBIZ, 0.0224
FSFG, 0.0224
INTC, 0.0224
KR, 0.0224
MNSB, 0.0224
NTIC, 0.0224
R, 0.0224
RCKY, 0.0224
SNA, 0.0224
BKR, 0.0225
WMG, 0.0225
WSO, 0.0225
CZWI, 0.0226
EAF, 0.0226
ELP, 0.0226
INFY, 0.0226
JNPR, 0.0226
ATO, 0.0228
CHRW, 0.0228
FFNW, 0.0228
FIHL, 0.0228
THG, 0.0228
GS, 0.0229
RTO, 0.0231
UNP, 0.0231
AVT, 0.0232
ELPC, 0.0232
TEO, 0.0232
WD, 0.0232
BTE, 0.0233
SLM, 0.0233
CWH, 0.0234
ITW, 0.0234
OTTR, 0.0234
RBCAA, 0.0234
CNS, 0.0235
MCHP, 0.0235
RLX, 0.0235
SAH, 0.0235
YORW, 0.0235
INGR, 0.023699999
VALU, 0.023699999
IMO, 0.0238
LMT, 0.0238
LUV, 0.0238
NATH, 0.0238
PG, 0.0238
GLW, 0.0239
MCD, 0.0239
SRCE, 0.0239
FSBW, 0.024
SGHC, 0.024
GWRS, 0.0241
IPAR, 0.0241
PRDO, 0.0241
CLAR, 0.024300002
BAC, 0.024400001
CF, 0.024400001
HAL, 0.024400001
ORRF, 0.024400001
SCCO, 0.024400001
WFC, 0.024400001
PRK, 0.024500001
WGO, 0.024500001
AEO, 0.024600001
AFG, 0.024600001
BK, 0.024600001
OFG, 0.024600001
TPG, 0.024600001
CNNE, 0.0247
WWW, 0.0247
EGBN, 0.0248
ESP, 0.0248
FMBH, 0.0248
MATV, 0.0248
MPB, 0.0248
NEE, 0.0249
PUK, 0.0249
SBUX, 0.0249
BAFN, 0.025
CAKE, 0.025
EIG, 0.025
WY, 0.025
HRB, 0.0251
BANC, 0.0253
CSGS, 0.0253
PLBC, 0.0253
RNST, 0.0253
GBCI, 0.0254
HNI, 0.0255
NBHC, 0.0255
CWBC, 0.0256
NRC, 0.0256
WKC, 0.0256
FWRD, 0.0257
IBTX, 0.0257
ARCO, 0.025899999
BHLB, 0.025899999
MUFG, 0.025899999
WTTR, 0.025899999
CCBG, 0.025999999
FCCO, 0.025999999
SNN, 0.025999999
GABC, 0.026099999
ACI, 0.026199998
FSBC, 0.026199998
MET, 0.026199998
BTT, 0.026300002
CHMG, 0.026300002
ITUB, 0.026300002
PAG, 0.026300002
STNG, 0.026300002
TRMK, 0.026300002
HPE, 0.026400002
TXN, 0.026400002
HONE, 0.026500002
PEG, 0.026500002
SBCF, 0.026500002
DLR, 0.026600001
SLB, 0.026600001
BRN, 0.026700001
CCEP, 0.026700001
CHCO, 0.026700001
KTB, 0.026800001
GLNG, 0.0269
AAP, 0.027
AMSF, 0.027
EXE, 0.027
KARO, 0.027
MDLZ, 0.027
VCTR, 0.0271
XRAY, 0.0271
AMH, 0.0272
BBWI, 0.0272
KDP, 0.0272
OFLX, 0.0272
SYY, 0.0272
UNM, 0.0272
KFRC, 0.0273
OMC, 0.0273
GSBC, 0.0274
MTB, 0.0274
OPOF, 0.0274
BPOP, 0.0275
CG, 0.0275
BWFG, 0.0276
FNWB, 0.0276
FR, 0.0276
GAP, 0.0276
JXN, 0.0276
ARIS, 0.0277
CCNE, 0.0277
ELS, 0.0277
PBI, 0.0277
SJW, 0.0277
STRA, 0.0277
TPR, 0.0277
RES, 0.0278
VTR, 0.0278
HOMB, 0.0279
PAYX, 0.0279
PGRE, 0.0279
RBB, 0.0279
ALV, 0.027999999
CVE, 0.027999999
HMST, 0.027999999
SMFG, 0.027999999
CNP, 0.028199999
FUNC, 0.028199999
VTMX, 0.028199999
K, 0.028299998
AMGN, 0.028399998
NOK, 0.028399998
STX, 0.028399998
WLY, 0.028399998
WLYB, 0.028399998
BAM, 0.028499998
BCS, 0.028499998
CFFI, 0.028499998
DB, 0.028499998
FUN, 0.028499998
SUI, 0.028499998
AGRO, 0.0286
ARCH, 0.0286
FXNC, 0.0286
GNTY, 0.0286
MBCN, 0.0286
CFR, 0.0287
CRBG, 0.0287
EBC, 0.0287
RDN, 0.0287
CASS, 0.028800001
LKFN, 0.028800001
STC, 0.028800001
UTL, 0.028800001
VBTX, 0.028800001
CMS, 0.028900001
CSCO, 0.028900001
IBCP, 0.028900001
CGAU, 0.029000001
CNOB, 0.029000001
ONB, 0.029000001
DG, 0.0291
FCBC, 0.0291
KO, 0.0291
SRE, 0.0291
SWKS, 0.0291
AMT, 0.0292
FBMS, 0.0292
HWBK, 0.0292
CATY, 0.0293
UVSP, 0.0293
VIPS, 0.0293
LEVI, 0.0294
NTRS, 0.0294
NWL, 0.0294
BANR, 0.0295
CRCT, 0.0295
EBTC, 0.0295
HPQ, 0.0295
SBFG, 0.0295
CADE, 0.0296
CMCSA, 0.0296
CRC, 0.0296
MRK, 0.0296
PEBK, 0.0296
AVB, 0.0297
CVGW, 0.0297
HP, 0.0297
EL, 0.0298
EOG, 0.0298
PKX, 0.0298
ADT, 0.0299
CNXC, 0.0299
SMG, 0.0299
GIC, 0.03
HSY, 0.03
ORI, 0.03
TGT, 0.03
WAFD, 0.03
AGM, 0.0301
HWC, 0.0301
MCBS, 0.0301
NBTB, 0.0301
SAFE, 0.0301
TCBK, 0.0301
CBAN, 0.030199999
CBU, 0.030199999
COP, 0.030199999
ERIC, 0.030199999
FDBC, 0.030199999
NI, 0.030199999
NSP, 0.030199999
TOWN, 0.030199999
BG, 0.030299999
TGNA, 0.030299999
ACNB, 0.0304
AEE, 0.0304
ATNI, 0.0304
EMN, 0.0304
FCF, 0.0304
SNV, 0.0304
UL, 0.0304
LEA, 0.0306
IVT, 0.0307
JNJ, 0.0307
OVV, 0.0307
RHI, 0.0307
UE, 0.0307
WBS, 0.0307
WEYS, 0.0307
AMX, 0.0308
FMS, 0.0308
MOS, 0.0308
RPRX, 0.0308
AKR, 0.0309
BOTJ, 0.0309
CLX, 0.0309
MDT, 0.0309
NRP, 0.0309
NTES, 0.0309
REYN, 0.0309
DEO, 0.031
IX, 0.031
TRN, 0.031
VIRT, 0.031
ASX, 0.0311
CPB, 0.0311
ESSA, 0.0311
FHI, 0.0311
MS, 0.0311
OTEX, 0.0311
ZION, 0.0312
KMT, 0.0313
OWL, 0.0313
PB, 0.0313
IBM, 0.031400003
JRVR, 0.031400003
LNT, 0.031400003
SO, 0.031400003
TAP, 0.031400003
PPL, 0.0315
FGBI, 0.031600002
HI, 0.031600002
KSM, 0.031600002
PBF, 0.031600002
ED, 0.0317
FNF, 0.0317
TRNO, 0.0317
DMF, 0.0318
LKQ, 0.0318
MLKN, 0.0318
SCS, 0.0318
PEP, 0.0319
SWK, 0.0319
UFCS, 0.0319
CCEC, 0.032
SCHL, 0.032
UVE, 0.032
XOM, 0.032
LCUT, 0.0321
VABK, 0.0321
BAX, 0.0322
CALM, 0.0322
CYD, 0.0322
DTE, 0.0322
GDEN, 0.0322
IRT, 0.0322
WNEB, 0.0322
FCAP, 0.0323
BKU, 0.0324
DCOM, 0.0324
VLO, 0.0324
BKE, 0.0325
MBWM, 0.0325
TSBK, 0.0325
COFS, 0.0326
PLD, 0.0326
QSR, 0.0326
SHBI, 0.0326
SKT, 0.0326
ABBV, 0.0327
BSRR, 0.0327
ESS, 0.0327
FBP, 0.0327
FMAO, 0.0327
JWN, 0.0327
NVS, 0.0327
STT, 0.0327
PFBC, 0.0328
XHR, 0.0328
FNB, 0.032899998
BFIN, 0.033
CZFS, 0.033
EVBN, 0.033
NC, 0.033
RYI, 0.033
BPRN, 0.033099998
DTM, 0.033099998
IDA, 0.033099998
RY, 0.033099998
TSN, 0.033099998
MOFG, 0.0332
SWX, 0.0332
WTRG, 0.0332
KB, 0.033299997
OPBK, 0.033299997
INVH, 0.0334
ALRS, 0.0335
MFG, 0.0335
MVBF, 0.0335
PECO, 0.0335
VLGEA, 0.0335
WABC, 0.0335
FITB, 0.0336
NFG, 0.0336
UCB, 0.0336
COLD, 0.0337
DMB, 0.0337
FAF, 0.0337
NOMD, 0.0337
PNC, 0.0337
QFIN, 0.0337
YRD, 0.0337
BHRB, 0.033800002
GHG, 0.033800002
GPC, 0.033800002
MXE, 0.033800002
PKBK, 0.033800002
CLDT, 0.0339
ALTG, 0.034
C, 0.034
EBMT, 0.034
UGP, 0.034
XEL, 0.034
ALLY, 0.0342
AROC, 0.0342
FDP, 0.0342
